iter	TotalF1	MultiClass
0	0.6302825196	-2.018085303
1	0.6371868648	-1.788707135
2	0.6343228646	-1.638780829
3	0.6323017573	-1.52532931
4	0.6312637421	-1.438827589
5	0.6341294947	-1.364092692
6	0.634637305	-1.307693122
7	0.6350452358	-1.258327457
8	0.6347767926	-1.214277727
9	0.6380577856	-1.174793408
10	0.6394683719	-1.140261017
11	0.6413594891	-1.110682481
12	0.6430303842	-1.082728459
13	0.6429919422	-1.06013248
14	0.6451401449	-1.037566649
15	0.645296392	-1.020568151
16	0.6466350577	-1.000833385
17	0.6474115052	-0.9853577317
18	0.6494590277	-0.9711907872
19	0.6515883861	-0.9578357386
20	0.6543053172	-0.9457432981
21	0.6556891346	-0.9353512538
22	0.657708528	-0.924871826
23	0.6587378917	-0.9161062972
24	0.6599202571	-0.908401109
25	0.6608351627	-0.9015344225
26	0.6627154939	-0.8926911048
27	0.6646654872	-0.883729984
28	0.6669091097	-0.8761823361
29	0.6675051572	-0.8714520704
30	0.6693310508	-0.8651908008
31	0.6716276011	-0.8590578956
32	0.6731638863	-0.8534254407
33	0.6748729335	-0.8483001854
34	0.6759627064	-0.8442859937
35	0.6774303292	-0.8399731142
36	0.6780048856	-0.8359413027
37	0.6800349363	-0.8317614287
38	0.6806797519	-0.8271806747
39	0.6818860533	-0.8219805525
40	0.6832969584	-0.8192469431
41	0.6840920243	-0.815586807
42	0.6852451425	-0.8117801673
43	0.6856803051	-0.8096049568
44	0.6867780441	-0.8065466968
45	0.6877945092	-0.8038372323
46	0.6889131134	-0.8001962852
47	0.6895606243	-0.7981138968
48	0.6897433017	-0.7963445679
49	0.6907149688	-0.7933639076
50	0.6914356195	-0.7908429134
51	0.6921846795	-0.7891864163
52	0.6934299476	-0.7866760933
53	0.6943561988	-0.7833255926
54	0.6948802465	-0.781254969
55	0.6952610432	-0.7806588296
56	0.6965986052	-0.7776689299
57	0.6970548259	-0.7762789104
58	0.6981935667	-0.7736699614
59	0.6982038378	-0.7728939023
60	0.6990585378	-0.7700829971
61	0.6997857768	-0.7679871514
62	0.7001457008	-0.7662436118
63	0.7011579349	-0.7641166287
64	0.702375265	-0.7618668468
65	0.7031287058	-0.7582530622
66	0.7042312371	-0.7551081855
67	0.7048710023	-0.7534213606
68	0.7053696093	-0.751046738
69	0.7059403102	-0.7494382348
70	0.7069164285	-0.7469112991
71	0.7073250584	-0.7461692059
72	0.7077321647	-0.7449185451
73	0.7082617296	-0.7439053619
74	0.7091069595	-0.741333267
75	0.7095232942	-0.739581175
76	0.7097359138	-0.7386571717
77	0.7101962281	-0.7367488819
78	0.7103152048	-0.7350539263
79	0.7110337538	-0.7329699676
80	0.7112740022	-0.7322729356
81	0.712136336	-0.7309853213
82	0.7124085352	-0.73006043
83	0.7130759533	-0.728916349
84	0.7133366747	-0.7280118441
85	0.7145658124	-0.7255736011
86	0.7154698995	-0.7237128685
87	0.7157967881	-0.7220238431
88	0.7171052887	-0.7181658926
89	0.7173712118	-0.7169653356
90	0.7173197387	-0.715946253
91	0.7174297038	-0.7153444963
92	0.7178533599	-0.7139684659
93	0.7180897164	-0.7130046066
94	0.719415104	-0.7100725189
95	0.7203194358	-0.7081376357
96	0.7206892954	-0.7067162034
97	0.7212589745	-0.7052335455
98	0.7216721206	-0.7045297376
99	0.7220731526	-0.7036058778
100	0.7224098846	-0.7023472271
101	0.7229724448	-0.7013735856
102	0.7233674516	-0.6997507093
103	0.7241812337	-0.6983512798
104	0.7244202651	-0.6973210286
105	0.7248277988	-0.6962527682
106	0.7253870126	-0.6943782753
107	0.7268388672	-0.6925680127
108	0.7272709812	-0.6916101455
109	0.7273978086	-0.6906390893
110	0.7276197018	-0.6896667787
111	0.7279179142	-0.6883706403
112	0.7288664163	-0.6870339746
113	0.7288313418	-0.6860396037
114	0.7292151778	-0.6843509931
115	0.7296456279	-0.6833386484
116	0.7296519237	-0.6822086057
117	0.7302788247	-0.6813427942
118	0.730988954	-0.6803765076
119	0.7314527897	-0.6790355155
120	0.7318522902	-0.6781838865
121	0.7319510887	-0.6772866769
122	0.7326357863	-0.6757895254
123	0.7331635237	-0.6747402021
124	0.7339315619	-0.6731705934
125	0.7342620195	-0.6720687824
126	0.7341590582	-0.6709749271
127	0.7346288859	-0.6700876742
128	0.7353861774	-0.6687111438
129	0.7361566021	-0.6676751728
130	0.7364279076	-0.6661658927
131	0.7371813926	-0.6651540877
132	0.7372828565	-0.6642550633
133	0.737747276	-0.6632863622
134	0.7379603646	-0.6625033137
135	0.7389610806	-0.6611238756
136	0.7390916768	-0.6606447983
137	0.7396692079	-0.66002644
138	0.7398137414	-0.6592762781
139	0.7405574275	-0.6582211735
140	0.74074908	-0.6567452907
141	0.7412320403	-0.6559006045
142	0.7416088092	-0.6548633593
143	0.7418151082	-0.6542525134
144	0.7418867722	-0.6538798766
145	0.7421352181	-0.6533202021
146	0.742265659	-0.6526998638
147	0.7426489139	-0.6520296481
148	0.7427037696	-0.6512139837
149	0.7428919739	-0.6505034416
150	0.7431771361	-0.6496100511
151	0.7432352506	-0.6492180692
152	0.7436346221	-0.6479156452
153	0.7439391374	-0.6474188951
154	0.7443579008	-0.6466277374
155	0.7447974648	-0.645588467
156	0.7450233618	-0.644647334
157	0.7453157338	-0.6438134294
158	0.7453471743	-0.6431521418
159	0.7457759565	-0.6426605744
160	0.7461486478	-0.641786815
161	0.7472060659	-0.6391304765
162	0.7476576168	-0.6381297703
163	0.7478088525	-0.637496834
164	0.7478985538	-0.6370643084
165	0.7483777066	-0.6361444233
166	0.7486745406	-0.635261996
167	0.7488041796	-0.6345605727
168	0.7489276332	-0.6340425461
169	0.7489210419	-0.6336690185
170	0.7490470455	-0.6330832628
171	0.7495950039	-0.6325359101
172	0.7501383323	-0.6309380272
173	0.7502265619	-0.6304697743
174	0.7508310803	-0.6295070824
175	0.7510471588	-0.6287254481
176	0.751698447	-0.6279036481
177	0.7517794617	-0.6267252677
178	0.7518076068	-0.6264925984
179	0.7519376031	-0.6260032259
180	0.7520705702	-0.624969343
181	0.7527335698	-0.623495423
182	0.7534996273	-0.6224589931
183	0.7537534694	-0.621673548
184	0.7541793896	-0.6208743358
185	0.753951246	-0.6203509112
186	0.7541301401	-0.6198516412
187	0.7546832983	-0.6190885062
188	0.7547904478	-0.6181546519
189	0.7548634317	-0.6180267717
190	0.7549801037	-0.617702941
191	0.7551010619	-0.6172086948
192	0.7554362481	-0.6165745715
193	0.7556432547	-0.6160248759
194	0.7557319625	-0.6158124073
195	0.7560504743	-0.6152816199
196	0.7564554129	-0.6147812297
197	0.7568570518	-0.6141351348
198	0.7569719746	-0.6136969224
199	0.7570766129	-0.6135599263
200	0.7573562675	-0.6127553832
201	0.7574823517	-0.6124653023
202	0.7575545973	-0.6122497827
203	0.7585834823	-0.6111041508
204	0.7585927071	-0.610374857
205	0.7589575431	-0.6096500432
206	0.7596695861	-0.6089901492
207	0.759772601	-0.6085272301
208	0.7599003931	-0.6080590799
209	0.7603352225	-0.6073851815
210	0.7606724254	-0.6063872046
211	0.7611492642	-0.6055593458
212	0.7612047022	-0.6049051122
213	0.761834349	-0.6043021122
214	0.7617159597	-0.6035924255
215	0.7623497809	-0.603291383
216	0.76250572	-0.602964432
217	0.7623991932	-0.6024191298
218	0.7626125165	-0.6018336153
219	0.7626391831	-0.6017224471
220	0.7631433697	-0.601109354
221	0.7633247508	-0.6007463979
222	0.7637492918	-0.6001113787
223	0.7639509828	-0.5997023327
224	0.7641609212	-0.5989467081
225	0.764275735	-0.5985132852
226	0.7641847874	-0.5981405174
227	0.764309706	-0.5973476937
228	0.7644448855	-0.5968487187
