iter	Passed	Remaining
0	3963	1978031
1	8053	2005217
2	12786	2118270
3	18047	2237831
4	23133	2290263
5	28185	2320569
6	30669	2160019
7	35421	2178436
8	39977	2180968
9	44925	2201342
10	49509	2200912
11	53956	2194215
12	58614	2195808
13	63887	2217810
14	68315	2208862
15	74354	2249232
16	78543	2231546
17	82905	2220035
18	88801	2248083
19	93103	2234490
20	97832	2231517
21	102994	2237782
22	108411	2248364
23	114124	2263467
24	119588	2272183
25	124821	2275591
26	132052	2313364
27	137211	2312992
28	142990	2322368
29	147704	2314034
30	153041	2315364
31	159241	2328913
32	164335	2325603
33	170510	2336991
34	177771	2361820
35	185150	2386378
36	191734	2399268
37	198117	2408692
38	203020	2399803
39	208395	2396543
40	215014	2407116
41	219163	2389929
42	223416	2374445
43	229702	2380548
44	236434	2390616
45	241762	2386092
46	248494	2395062
47	253328	2385510
48	257117	2366528
49	264056	2376509
50	271169	2387352
51	275580	2374231
52	281653	2375453
53	289077	2387566
54	295734	2392764
55	299654	2375835
56	304736	2368393
57	310679	2367590
58	317064	2369920
59	322282	2363406
60	327964	2360268
61	332672	2350167
62	339851	2357384
63	344948	2349963
64	349733	2340523
65	355837	2339898
66	361657	2337278
67	366280	2326958
68	371625	2321313
69	377440	2318565
70	383134	2314996
71	388287	2308154
72	393163	2299734
73	398998	2296940
74	404610	2292793
75	409720	2285809
76	415924	2284884
77	420646	2275804
78	426128	2270889
79	430702	2261189
80	433681	2243362
81	438540	2235486
82	441570	2218492
83	447587	2216622
84	453199	2212681
85	458846	2208867
86	464265	2203924
87	468970	2195632
88	474519	2191319
89	478610	2180338
90	484111	2175841
91	488937	2168331
92	494246	2162991
93	499762	2158549
94	505173	2153634
95	510701	2149200
96	515043	2139819
97	519758	2132072
98	524684	2125235
99	529423	2117693
100	533837	2108920
101	538354	2100636
102	543660	2095467
103	548524	2088613
104	554313	2085275
105	558995	2077776
106	564416	2073044
107	571048	2072693
108	577254	2070701
109	581750	2062569
110	586306	2054714
111	591572	2049377
112	596246	2042013
113	600529	2033370
114	605022	2025511
115	611186	2023237
116	615553	2015016
117	620134	2007554
118	624686	2000046
119	629476	1993340
120	634175	1986382
121	638928	1979630
122	643692	1972944
123	647951	1964754
124	652677	1958032
125	656959	1950023
126	661887	1943969
127	667495	1939908
128	671851	1932223
129	676106	1924301
130	680315	1916309
131	684908	1909441
132	689718	1903209
133	694450	1896783
134	698990	1889864
135	704784	1886335
136	709909	1881000
137	714539	1874370
138	719165	1867760
139	725252	1864935
140	730431	1859750
141	735017	1853071
142	739563	1846323
143	743960	1839236
144	748600	1832780
145	753273	1826431
146	757826	1819813
147	762739	1814082
148	767845	1808817
149	774018	1806043
150	778895	1800228
151	783940	1794811
152	788448	1788180
153	793386	1782544
154	798197	1776632
155	802658	1769964
156	807230	1763566
157	811565	1756680
158	815972	1749979
159	821971	1746689
160	826312	1739874
161	832477	1736896
162	837049	1730587
163	841646	1724349
164	846391	1718431
165	850807	1711864
166	856734	1708339
167	863433	1706310
168	868406	1700844
169	875899	1700274
170	880965	1694956
171	886129	1689827
172	893646	1689146
173	898253	1682935
174	902371	1675832
175	908630	1672705
176	913436	1666893
177	920859	1665824
178	926775	1661983
179	931455	1655921
180	937991	1653144
181	943895	1649224
182	949475	1644719
183	954928	1639985
184	959981	1634562
185	964857	1628845
186	969345	1622488
187	973339	1615329
188	978707	1610465
189	984678	1606580
190	990268	1602056
191	994979	1596112
192	999183	1589374
193	1005323	1585715
194	1010548	1580601
195	1015050	1574363
196	1019830	1568571
197	1026253	1565296
198	1030805	1559157
199	1035959	1553938
200	1041537	1549351
201	1046781	1544261
202	1052886	1540429
203	1057355	1534201
204	1063016	1529706
205	1067526	1523557
206	1072360	1517882
207	1077436	1512554
208	1082062	1506603
209	1087750	1502131
210	1094984	1499765
211	1099280	1493362
212	1104453	1488159
213	1109389	1482642
214	1114852	1477828
215	1119892	1472451
216	1125815	1468229
217	1132394	1464840
218	1137682	1459766
219	1143671	1455581
220	1148950	1450485
221	1153350	1444286
222	1158783	1439385
223	1164770	1435163
224	1169927	1429911
225	1176034	1425812
226	1180584	1419821
227	1187059	1416141
228	1191991	1410610
